,1,2-3,4-10,11-25,CM,MC-WD-DNF,
Tiger Woods,1.5,3,4.5,4,5,3,
Billy Horschel,0,4,1,2,6.5,9.5,
Dustin Johnson,2,5.5,5,6,3,2,
Webb Simpson,1.5,1,8,8,4.5,3,
Justin Rose,1,5,6.5,5.5,2,1,
Hideki Matsuyama,0,0,2,9.5,6,5.5,
Rickie Fowler,0,2,5,9,4,2.5,
Justin Thomas,2,1.5,7.5,9.5,1,2,
Xander Schauffele,0,5,4.5,4,7.5,4,
Rory McIlroy,1,2.5,7,3.5,5,5.5,
Tommy Fleetwood,0,2,5,11,4,1,
Gary Woodland,1,0,2,6.5,8.5,6.5,
Paul Casey,1,1,2,9,5,4.5,
Jon Rahm,0,0,6,6.5,4,5,
Aaron Wise,1,1,2,4,4,8.5,
Tony Finau,0,2,9,5.5,6,3,
Kyle Stanley,0,2,1,6.5,6.5,8.5,
Jason Day,1,1,2.5,12,2,2.5,
Bryson DeChambeau,2.5,2,3,5,9.5,4,
Cameron Smith,0,1.5,4,2.5,9.5,6.5,
Patton Kizzire,0,0,0,3,9,13,
Patrick Cantlay,0,0,5,7.5,8,3,
Marc Leishman,0,1,3,3,14.5,3,
Francesco Molinari,2.5,1,3.5,9,4,3.5,
Kevin Na,0.5,1,2,7,7.5,2.5,
Keegan Bradley,1.5,0,2.5,1.5,14.5,3,
Brooks Koepka,4,1,2,4.5,5.5,1,
Patrick Reed,2,1,5,4.5,9,5,
Bubba Watson,3,0,4,2,9,7,
Phil Mickelson,1.5,1,3,8,7.5,4.5,
Andrew Putnam,0,1,1,2.5,7,3.5,
Jason Kokrak,0,0.5,1,6,7,7,
Adam Hadwin,0,0,2.5,8,7.5,5,
Alex Noren,0,2.5,0,10.5,2.5,6,
Charles Howell III,0,0,2,7.5,8,4,
Henrik Stenson,0,0,5.5,3.5,6,3,
Austin Cook,0,0,1.5,0,16.5,6,
Tyrrell Hatton,0,1.5,6,1.5,8.5,4,
Byeong Hun An,0,2,2,2.5,13,2,
Beau Hossler,0,1.5,0,2,12.5,4,
Zach Johnson,0,0,0,10,11,1.5,
Ted Potter Jr,1,0,0,1,10.5,9.5,
Brice Garnett,0,0,0,1.5,11,7,
Andrew Landry,0,0,0,0,10.5,8,
C.T. Pan,0,1,0.5,4,9.5,3.5,
Peter Uihlein,0,0,2,3.5,10,7.5,
Chez Reavie,0,2,1,3,8.5,10,
Chris Kirk,0,0,1,5,11.5,1.5,
Rafa Cabrera Bello,0,1.5,3,3.5,12.5,2.5,
Siwoo Kim,0,1,2,2,12.5,8,
Keith Mitchell,0,1,1.5,0.5,10.5,3,
J.J Spaun,0,1,0,0.5,6,8.5,
Scott Piercy,0,0,0,3.5,7,9,
Luke List,0,3,2,2.5,9.5,7,
Brian Gay,0,0,3,5,9,4,
Ian Poulter,0.5,0,3,5,9.5,4.5,
Adam Scott,0,2,2,5.5,10,3,
Ryan Armour,0,0,1,3.5,9.5,8.5,
Abraham Ancer,0,0,2,2,7.5,7,
Jordan Spieth,0,2.5,3,8,6,5,
Pat Perez,0,0,0,3.5,12.5,5,
Louis Oosthuizen,0,0,2,8,6.5,3.5,
Kevin Kisner,0,3,1,2.5,9.5,8.5,
Chesson Hadley,0,0,2,4,7.5,9.5,
Emiliano Grillo,0,1.5,2.5,3,9,4,
Brendan Steele,0,1,0,2.5,9,7.5,
Ryan Palmer,0,0,1,2.5,5.5,6,
Brandt Snedeker,1,0.5,2,3,8.5,7.5,
Brian Harman,0,0,3.5,2,13.5,3.5,
Brian Stuard,0,0,0,1,8.5,10.5,
Kevin Chappell,0,0,4,1,9.5,8.5,
James Hahn,0,0,0,2,7,9,
Daniel Berger,0,0,2,6,9,5,
Kevin Tway,0,0,3,2,8.5,5,
Branden Grace,0,1,1.5,5,9.5,3,
Russell Knox,1,0,0,6,8.5,7,
Matt Kuchar,0,0,4.5,4.5,9,7,
J.B. Holmes,0,2,0,1,8,7,
Danny Lee,0,0,2.5,3,3,9.5,
Scott Stallings,0,0,2,1.5,8,8.5,
Bronson Burgoon,0,1,0,2.5,2,8,
Russell Henley,0,0,2,6,7,7.5,
Stewart Cink,0,1,3,2,7.5,4.5,
Nick Watney,0,1,0,1,13,3,
Tom Hoge,0,0,0,2,8,8,
Jimmy Walker,0,1.5,2,3,9.5,3.5,
Ryan Moore,0,0,3,4.5,8,5,
Charley Hoffman,0,0,0,12.5,6.5,6.5,
Meenwhee Kim,0,1,0,1,6,9,
Jamie Lovemark,0,0,1,5,7,3,
Jhonattan Vegas,0,0,0,2.5,15,5.5,
Kelly Kraft,0,0.5,1,0,7.5,13,
Troy Merritt,0,0,1,1,6.5,5.5,
Ollie Schniederjans,0,1,0,0,12,6.5,
Anirban Lahiri,0,0,2,0,7.5,9,
Michael Kim,1,0,0,1,4,11,
Satoshi Kodaira,1,0,0,1,9.5,10,
Joel Dahmen,0,1,1.5,3,2.5,4.5,
Kevin Streelman,0,0,3,0,7.5,6.5,
Jason Dufner,0,0,1.5,4,6,9.5,
Sam Ryder,0,1,0.5,0,7,3.5,
Sean O'Hair,0,0,1,1,5.5,8,
Seamus Power,0,0,0,2,3.5,7.5,
Harold Varner III,0,0,3,1,8,5,
Alex Cejka,0,0,0,0.5,8,5.5,
Trey Mullinax,0,0,2,0,5.5,6.5,
